AgencyCd,SiteNo,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityDepthHeightMeasureValue,ActivityDepthHeightMeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityCommentText,SampleCollectionMethodIdentifier,SampleCollectionMethodContext,SampleCollectionMethodName,ActivityStartDate,ActivityStartTime,ActivityStartTimeZoneCode,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultSampleFractionText,ResultCommentText,ResultTemperatureBasisText,ResultDetectionConditionText,ResultDepthHeightMeasureValue,ResultDepthHeightUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodIdentifierContext,ResultAnalyticalMethodName,MethodDescriptionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasureValue,DetectionQuantitationLimitMeasureUnitCode,LaboratoryName,LabAnalysisStartDate,ResultLaboratoryCommentText,PreparationStartDate,Data Provided by
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Carbon dioxide,8.1,mg/l,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,pH,7.5,std units,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Specific conductance,630,uS/cm @25C,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,"Hardness, Ca, Mg",68,mg/l CaCO3,,,,Actual,,,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,"Hardness, non-carbonate",0,mg/l CaCO3,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Calcium,15,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Magnesium,7.3,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Potassium,2.8,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],5.3,None,,,,Actual,,,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,"Sodium, percent total cations",75,%,,,,Actual,,,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Sodium,100,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,"Alkalinity, total",131,mg/l CaCO3,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Bicarbonate,160,mg/l,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Carbonate,0,mg/l,,,,Actual,,Total,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Chloride,113,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Fluoride,0.6,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Silica,14,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Sulfate,1.5,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Total dissolved solids,334,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Total dissolved solids,0.47,tons/ac ft,,,,Actual,,Dissolved,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Total dissolved solids,343,mg/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Nitrate,0,mg/l asNO3,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Nitrate,0,mg/l as N,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Hydrogen ion,0.00003,mg/l,,,,Actual,,Total,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,,,,,Unknown,,,USGS-UT
USGS,4.03511E+14,nwisut.01.96601506,Sample-Routine,Water,,,,,,USGS,USGS,USGS,1/25/1966,0:00:00,Unknown,Boron,140,ug/l,,,,Actual,,Dissolved,,,,,,,Unknown,Unknown,Unknown,,,,,,Unknown,,,USGS-UT
